Response Id,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You enjoy participating in group activities.,You are definitely not an artistic type of person.,Your mood can change very quickly.,You often end up doing things at the last possible moment.,You rarely second-guess the choices that you have made.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You struggle with deadlines.,You like to have a to-do list for each day.,You rarely worry about whether you make a good impression on people you meet.,You feel confident that things will work out for you.,You are prone to worrying that things will take a turn for the worse.,"You have always been fascinated by the question of what, if anything, happens after death.",You usually prefer to be around others rather than on your own.,You find it easy to empathize with a person whose experiences are very different from yours.,You avoid making phone calls.,You often spend a lot of time trying to understand views that are very different from your own.,"In your social circle, you are often the one who contacts your friends and initiates activities.","If your plans are interrupted, your top priority is to get back on track as soon as possible.",Your emotions control you more than you control them.,You often feel overwhelmed.,Personality_numeric
1,-2,-3,2,-2,-2,2,-2,-2,-1,-2,1,-1,1,1,3,3,1,2,0,-1,2,-1,1,1,2,3
5,1,0,-2,-1,-2,1,-2,-2,-2,1,1,2,-2,3,1,2,2,-1,1,-2,-1,-1,1,0,2,4
6,-2,0,1,-2,-1,1,-2,-1,0,-1,1,-1,1,0,1,1,-2,-1,0,1,0,0,-2,1,2,3
7,-3,0,0,-2,-2,1,2,-2,-1,0,-1,2,1,-1,-1,0,1,1,-2,2,1,0,-1,-1,1,4
8,-2,1,1,-1,-1,-3,1,1,0,-1,-2,2,1,0,-2,-2,-2,1,3,2,-1,-3,0,1,1,2
13,-1,1,0,-1,0,2,-2,-2,-1,1,0,1,-3,-2,2,-1,-1,-3,-2,1,-2,0,3,-2,-1,4
14,-1,-2,0,-1,0,0,2,1,1,-1,-1,-1,1,-1,-1,-1,2,0,-1,0,2,-1,-1,-1,2,5
17,0,-2,2,-2,-2,-2,1,1,-2,-1,1,1,1,0,-2,-2,0,3,1,1,0,-2,0,3,2,2
20,-1,-2,3,0,0,3,1,3,2,0,-3,-3,0,-1,0,-1,0,1,-1,-1,-1,3,-2,0,-2,2
25,0,0,-1,-1,2,0,-1,-2,-1,-1,1,-1,-2,-1,-3,1,-2,-2,-1,-3,-3,0,-2,0,1,1
26,0,2,-3,-1,2,1,0,0,2,-1,2,0,3,1,-2,-1,1,0,-2,-1,0,-1,1,1,2,1
28,-2,-1,2,-2,-1,1,-2,-1,-2,-1,2,-2,3,1,1,2,-2,-1,-3,2,3,0,-1,2,0,3
30,1,3,-1,0,0,0,-1,-2,-1,2,1,-3,-1,1,-2,0,0,-3,-2,-3,-2,-2,-2,0,-2,1
32,0,1,0,-1,-1,-1,2,-1,1,-2,2,0,-1,2,-2,2,-1,2,-2,-2,0,-2,1,-1,1,1
37,-2,1,-2,0,-2,2,0,-1,1,-2,3,-3,1,1,-2,-2,-1,-1,-1,-1,-2,-1,-1,0,1,1
38,3,1,0,-1,-1,1,-1,0,-2,2,0,2,-1,0,2,1,2,1,1,0,-1,-2,1,-2,1,4
40,-2,1,1,-2,2,-1,0,1,1,-1,-3,1,-2,-1,0,0,1,-1,-2,3,1,-3,3,-1,2,4
41,-1,-1,-2,-2,2,0,2,-1,1,-2,-2,-1,2,-1,0,-1,3,1,-2,-2,2,-1,0,1,2,5
48,-1,0,0,-1,-2,2,-1,2,-1,-1,0,-3,1,0,1,1,-1,-1,-2,1,0,-3,-1,0,2,3
58,-2,-2,1,-1,1,-2,2,-2,-1,-2,-1,1,-2,-2,-1,-3,-1,0,0,-1,-3,-2,-1,2,-2,1
61,1,-2,0,-2,-1,2,-1,-1,0,-2,1,-3,1,1,2,2,0,1,0,2,2,-1,1,2,1,3
62,-1,3,-2,-2,2,2,2,0,2,2,1,-1,2,3,0,-3,1,1,0,-1,1,1,3,2,2,5
64,1,3,-2,0,-1,0,1,-2,1,-1,-1,-3,3,1,-2,-2,-1,2,-1,0,-1,-1,1,2,2,1
65,-1,0,1,-3,1,2,2,-1,2,-1,-2,-1,2,1,-2,2,1,-2,-2,3,0,-1,3,1,1,4
73,0,-2,-1,-2,0,-2,0,2,0,-2,-2,3,2,-2,-1,0,0,3,3,0,0,-2,1,1,2,2
76,-2,-3,-3,-2,2,0,2,1,1,1,-1,2,-1,-2,1,0,2,0,-1,2,0,1,1,1,0,4
81,1,1,-1,-2,0,2,1,0,0,2,1,0,1,2,1,-2,-1,3,-1,2,0,2,0,0,3,5
86,-1,1,0,1,-1,-1,1,-1,-3,0,1,-3,-2,1,-2,0,0,-1,-1,0,-2,-1,-1,1,-2,1
87,0,3,0,-1,-2,1,1,-1,1,0,-2,0,1,0,-2,0,0,1,-2,-2,-1,1,1,0,0,3
89,0,1,-2,0,2,1,1,2,2,1,2,1,3,-1,3,-2,1,2,-3,1,-2,0,1,1,-1,5
91,1,2,-3,-1,2,1,1,0,1,2,0,-2,1,0,0,0,0,0,0,2,0,2,0,2,0,5
92,-1,2,-3,-1,1,2,1,0,1,0,1,-2,1,1,-1,-3,0,1,0,-1,0,0,0,-1,-1,1
94,-1,2,-2,-1,-2,0,-2,-3,-1,-1,-1,2,-1,2,0,2,-1,-2,1,0,-1,-2,0,0,-1,4
97,-3,-1,2,2,1,3,1,3,0,-3,0,-1,-1,-1,-2,0,2,1,1,1,0,3,-1,1,0,2
99,-2,1,-1,-1,0,-1,-2,2,2,1,-2,-1,0,-3,-3,1,0,-3,-1,0,2,-2,2,1,3,4
100,-1,0,2,1,0,0,-1,2,0,-3,0,1,0,1,-2,1,-1,-2,1,0,1,1,-1,0,0,2
103,-2,1,0,-1,-1,2,0,1,2,1,0,2,0,-3,-2,3,2,-1,-2,1,1,-2,2,0,2,4
105,3,-1,3,-2,0,1,-1,-3,-2,-1,-3,0,3,1,1,1,-3,2,0,-2,-1,-2,3,-1,-3,3
107,-2,0,2,-1,1,2,-1,-3,-3,2,0,1,0,0,1,2,-1,-1,-2,2,2,-1,-2,2,0,3
109,-1,-1,-1,-1,-2,-1,0,-1,-2,0,0,0,1,3,2,-1,-2,-2,-1,3,1,-2,-2,-1,1,3
114,-1,1,-1,-1,-1,3,1,-2,0,-1,0,0,1,2,-1,-1,-3,0,-2,-1,-2,0,2,-1,2,1
117,-3,-1,1,-1,0,0,1,0,-1,-2,-1,1,0,0,-1,-1,2,-1,-2,1,2,-2,0,1,2,4
120,-2,3,-3,-2,-1,2,2,-3,0,-2,-1,0,2,1,-1,-2,0,2,0,-1,-3,-3,0,0,1,1
123,0,2,-2,-2,1,0,0,-1,0,-1,1,0,-1,-1,-2,-2,0,-3,-2,-1,-1,-1,-2,1,0,1
127,0,1,1,-3,-2,0,-1,-2,-3,-1,2,-1,3,2,0,3,-2,1,-2,-2,-1,1,2,-2,-3,3
129,0,1,0,-2,2,2,-2,-1,-1,0,2,0,-2,-2,1,0,-2,-3,-3,1,-2,-2,1,-2,1,4
131,0,-2,-2,-1,0,2,2,2,1,-1,1,2,2,0,-1,-2,1,-1,-2,-1,2,-1,2,1,2,5
139,-1,-1,-1,-3,-2,3,2,-1,0,0,-1,0,-1,2,-3,-2,1,0,-1,-1,-2,-1,1,-2,0,1
143,0,2,0,-1,-2,-1,1,-2,1,0,1,1,0,2,-2,0,-2,3,-2,-1,-1,-3,1,0,2,1
151,0,2,-3,-1,2,2,0,-1,2,2,0,0,2,2,2,-2,-1,2,-1,-1,1,1,0,1,1,5
154,1,1,-1,0,1,1,3,-3,-3,-1,0,0,-3,-1,-1,-1,0,0,-2,0,0,-2,-1,1,1,1
157,-3,0,0,1,-1,2,2,0,-1,-1,-3,-1,0,0,0,-2,-2,-1,0,0,-1,-2,0,1,1,2
159,-1,2,0,-2,-1,1,2,-2,3,-1,1,0,-1,3,-1,0,-3,3,-2,-1,0,0,1,-2,0,1
161,2,-1,2,-1,0,0,0,-2,-2,-3,-1,0,2,2,0,1,-3,0,-3,0,0,0,2,0,-1,3
164,-1,-2,2,-2,0,1,0,0,-3,-1,0,1,1,2,2,1,-2,-1,0,3,1,0,-2,0,1,3
167,-2,0,-2,-3,1,-2,1,-2,-1,-1,0,0,-1,-2,-2,-2,-2,0,0,0,-1,1,-1,0,0,1
168,-1,2,0,-2,-1,0,0,-3,0,-1,1,-2,0,-2,-1,-3,-1,-3,-1,-3,-1,0,2,-1,-1,2
169,-1,-1,-2,-1,1,1,2,-2,-3,-2,2,1,-3,0,-3,-2,-2,-2,0,-2,-2,0,-2,0,-2,1
171,-2,-2,2,-1,0,-1,3,-1,-2,-1,1,2,2,0,-2,-2,0,-1,0,-1,-1,1,1,0,2,2
173,3,1,-1,-2,-1,0,-2,0,-1,1,0,2,0,2,1,2,-1,1,-2,-1,-2,-3,-1,-2,0,4
